GeneID,GeneSymbol,Family_Subfamily,Protein_Class,GO_MF,GO_BO,GO_CC
Zm00001eb144010,Proline transporter 2;103650866;PTN002742225;orthologs,OS01G0908600 PROTEIN (PTHR48017:SF162),,amino acid transmembrane transporter activity(GO:0015171),amino acid transmembrane transport(GO:0003333);amino acid transport(GO:0006865),membrane(GO:0016020)
Zm00001eb299190,Plastid division protein PDV2;100216877;PTN002852020;orthologs,PLASTID DIVISION PROTEIN PDV2 (PTHR33600:SF3),,,chloroplast fission(GO:0010020),
Zm00001eb208100,Uncharacterized protein;100191310;PTN002860492;orthologs,DBH-LIKE MONOOXYGENASE (PTHR35510:SF1),oxygenase(PC00177),,,
Zm00001eb322660,Senescence regulator;100382369;PTN002847088;orthologs,OS07G0516300 PROTEIN (PTHR33083:SF93),,,leaf senescence(GO:0010150),
Zm00001eb122490,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb026180,Complex 1 LYR protein domain-containing protein;unassigned;PTN009011563;orthologs,"SUCCINATE DEHYDROGENASE ASSEMBLY FACTOR 1, MITOCHONDRIAL (PTHR13675:SF1)",,,mitochondrial respiratory chain complex II assembly(GO:0034553),mitochondrion(GO:0005739);mitochondrial matrix(GO:0005759)
Zm00001eb172960,Pectinesterase inhibitor domain-containing protein;ZEAMMB73_Zm00001d049596;PTN002858345;orthologs,PECTINESTERASE INHIBITOR DOMAIN-CONTAINING PROTEIN (PTHR34838:SF9),,,,
Zm00001eb256020,"Mitochondrial phosphate carrier protein 3, mitochondrial;103627788;PTN002903475;orthologs",MITOCHONDRIAL PHOSPHATE TRANSPORTER (PTHR45671:SF17),mitochondrial carrier protein(PC00158),mRNA binding(GO:0003729);phosphate transmembrane transporter activity(GO:0005315),response to osmotic stress(GO:0006970);phosphate ion transmembrane transport(GO:0035435);mitochondrial phosphate ion transmembrane transport(GO:1990547),mitochondrial inner membrane(GO:0005743);membrane(GO:0016020)
Zm00001eb328920,Zinc finger CCHC domain-containing protein 10;101027165;PTN009010107;orthologs,ZINC FINGER CCHC DOMAIN-CONTAINING PROTEIN 10 (PTHR13491:SF0),,,,
Zm00001eb074520,Putative glucuronosyltransferase PGSIP7;100272268;PTN008962525;orthologs,GLUCURONOSYLTRANSFERASE PGSIP8-RELATED (PTHR11183:SF114),glycosyltransferase(PC00111),,,
Zm00001eb080050,Amino acid transporter transmembrane domain-containing protein;100285834;PTN009223474;orthologs,OS04G0470700 PROTEIN (PTHR48017:SF1),,,,
Zm00001eb173350,Pre-mRNA-splicing factor SLU7;ZEAMMB73_Zm00001d049636;PTN002658456;orthologs,PRE-MRNA-SPLICING FACTOR SLU7 (PTHR12942:SF2),RNA splicing factor(PC00148),second spliceosomal transesterification activity(GO:0000386);pre-mRNA 3'-splice site binding(GO:0030628),"mRNA splicing, via spliceosome(GO:0000398);mRNA processing(GO:0006397);RNA splicing(GO:0008380);mRNA cis splicing, via spliceosome(GO:0045292)",nucleus(GO:0005634);spliceosomal complex(GO:0005681)
Zm00001eb425670,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb285520,Non-cyanogenic beta-glucosidase;ZEAMMB73_Zm00001d037918;PTN002570707;orthologs,BETA-GLUCOSIDASE 11 (PTHR10353:SF29),glycosidase(PC00110),"hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);beta-glucosidase activity(GO:0008422);hydrolase activity(GO:0016787)",carbohydrate metabolic process(GO:0005975),
Zm00001eb046150,RING_U-box superfamily protein;unassigned;;orthologs,,,,,
Zm00001eb293780,Clp R domain-containing protein;541780;PTN002615677;orthologs,CHAPERONE PROTEIN CLPB1 (PTHR11638:SF183),protease(PC00190),,,
Zm00001eb016720,"Peptidyl-tRNA hydrolase, mitochondrial;unassigned;PTN009032940;orthologs","PEPTIDYL-TRNA HYDROLASE, MITOCHONDRIAL (PTHR17224:SF4)",esterase(PC00097),,,
Zm00001eb113430,Myosin heavy chain-related;unassigned;PTN009230233;orthologs,NUCLEAR ENVELOPE-ASSOCIATED PROTEIN 2 (PTHR48145:SF5),,,,nuclear envelope(GO:0005635);nucleoplasm(GO:0005654)
Zm00001eb000670,Vacuolar protein sorting-associated protein 24 homolog 1;100273289;PTN002573525;orthologs,CHARGED MULTIVESICULAR BODY PROTEIN 3 (PTHR10476:SF1),membrane traffic protein(PC00150),,vacuolar transport(GO:0007034);protein transport(GO:0015031);endosome transport via multivesicular body sorting pathway(GO:0032509);late endosome to vacuole transport(GO:0045324),ESCRT III complex(GO:0000815);multivesicular body(GO:0005771)
Zm00001eb041850,HMG-Y-related protein A;HMGIY2;PTN002607307;orthologs,HMG-Y-RELATED PROTEIN A (PTHR11467:SF162),"chromatin/chromatin-binding, or -regulatory protein(PC00077)",DNA binding(GO:0003677);double-stranded DNA binding(GO:0003690);nucleosomal DNA binding(GO:0031492);sequence-specific DNA binding(GO:0043565),nucleosome assembly(GO:0006334);regulation of DNA-templated transcription(GO:0006355);chromosome condensation(GO:0030261);negative regulation of DNA recombination(GO:0045910);regulation of endosperm development(GO:2000014),chromatin(GO:0000785);nucleosome(GO:0000786);nucleus(GO:0005634);nucleolus(GO:0005730)
Zm00001eb288110,isopentenyl-diphosphate Delta-isomerase;103630362;PTN002587492;orthologs,ISOPENTENYL-DIPHOSPHATE DELTA-ISOMERASE (PTHR10885:SF0),isomerase(PC00135),catalytic activity(GO:0003824);isopentenyl-diphosphate delta-isomerase activity(GO:0004452);isomerase activity(GO:0016853),isoprenoid biosynthetic process(GO:0008299);isopentenyl diphosphate biosynthetic process(GO:0009240);chlorophyll biosynthetic process(GO:0015995);dimethylallyl diphosphate biosynthetic process(GO:0050992),cytoplasm(GO:0005737);cytosol(GO:0005829)
Zm00001eb363170,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb222910,Myosin heavy chain-related protein;unassigned;;orthologs,,,,,
Zm00001eb119160,Uncharacterized protein;103649540;;orthologs,,,,,
Zm00001eb430020,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb105540,Regulator of nonsense transcripts 1-like protein;100383288;PTN002587597;orthologs,REGULATOR OF NONSENSE TRANSCRIPTS 1 (PTHR10887:SF364),RNA helicase(PC00032),nucleotide binding(GO:0000166);DNA binding(GO:0003677);DNA helicase activity(GO:0003678);RNA binding(GO:0003723);RNA helicase activity(GO:0003724);helicase activity(GO:0004386);ATP binding(GO:0005524);zinc ion binding(GO:0008270);hydrolase activity(GO:0016787);metal ion binding(GO:0046872),"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay(GO:0000184);regulation of gene expression(GO:0010468)",cytoplasm(GO:0005737)
Zm00001eb290820,Uncharacterized protein;unassigned;;orthologs,,,galactoside 2-alpha-L-fucosyltransferase activity(GO:0008107);transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757),cell wall biogenesis(GO:0042546);cell wall organization(GO:0071555),membrane(GO:0016020)
Zm00001eb158370,GTP-binding nuclear protein;unassigned;PTN009079770;orthologs,GTP-BINDING NUCLEAR PROTEIN (PTHR24071:SF21),small GTPase(PC00208),nucleotide binding(GO:0000166);GTPase activity(GO:0003924);GTP binding(GO:0005525),ribosomal subunit export from nucleus(GO:0000054);protein import into nucleus(GO:0006606);nucleocytoplasmic transport(GO:0006913);protein transport(GO:0015031),nucleus(GO:0005634);cytoplasm(GO:0005737)
Zm00001eb109890,Zinc knuckle (CCHC-type) family protein;100217191;PTN002669007;orthologs,ZINC FINGER CCHC DOMAIN-CONTAINING PROTEIN 10 (PTHR13491:SF0),,,,
Zm00001eb077790,General transcription factor IIH subunit;100274342;PTN002652834;orthologs,GENERAL TRANSCRIPTION FACTOR IIH SUBUNIT 2-RELATED (PTHR12695:SF2),general transcription factor(PC00259),zinc ion binding(GO:0008270);metal ion binding(GO:0046872),DNA repair(GO:0006281);nucleotide-excision repair(GO:0006289);DNA-templated transcription(GO:0006351);regulation of transcription by RNA polymerase II(GO:0006357);DNA damage response(GO:0006974),transcription factor TFIIH core complex(GO:0000439);nucleus(GO:0005634);transcription factor TFIIH holo complex(GO:0005675)
Zm00001eb061500,Plant adhesion molecule 1;100272252;PTN002742917;orthologs,"RELATED TO THE N TERMINUS OF TRE ONCOGENE, ISOFORM A (PTHR22957:SF212)",GTPase-activating protein(PC00257),GTPase activator activity(GO:0005096),,
Zm00001eb336490,AB hydrolase-1 domain-containing protein;unassigned;PTN009167313;orthologs,OS01G0168800 PROTEIN (PTHR43139:SF14),serine protease(PC00203),,,
Zm00001eb040150,ER lumen protein retaining receptor family protein;unassigned;PTN008948543;orthologs,OS09G0534200 PROTEIN (PTHR10585:SF88),membrane trafficking regulatory protein(PC00151),ER retention sequence binding(GO:0046923),protein retention in ER lumen(GO:0006621);protein transport(GO:0015031);vesicle-mediated transport(GO:0016192),endoplasmic reticulum membrane(GO:0005789);membrane(GO:0016020)
Zm00001eb205710,Small ribosomal subunit protein eS8;RPS8;PTN002571972;orthologs,SMALL RIBOSOMAL SUBUNIT PROTEIN ES8 (PTHR10394:SF3),ribosomal protein(PC00202),structural constituent of ribosome(GO:0003735);ribosome binding(GO:0043022),"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)(GO:0000462);translation(GO:0006412);ribosome assembly(GO:0042255)",ribosome(GO:0005840);cytosolic small ribosomal subunit(GO:0022627);chloroplast ribosome(GO:0043253);ribonucleoprotein complex(GO:1990904)
Zm00001eb102160,NAC domain containing protein 38;103647555;PTN002838403;orthologs,NAC DOMAIN CONTAINING PROTEIN 38 (PTHR31744:SF115),,DNA binding(GO:0003677),regulation of DNA-templated transcription(GO:0006355),nucleus(GO:0005634)
Zm00001eb138740,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb427560,Kinesin-like protein;541864;PTN002790003;orthologs,KINESIN-LIKE PROTEIN KIN-7F (PTHR47968:SF18),,nucleotide binding(GO:0000166);cytoskeletal motor activity(GO:0003774);microtubule motor activity(GO:0003777);ATP binding(GO:0005524);microtubule binding(GO:0008017),microtubule-based movement(GO:0007018),microtubule(GO:0005874)
Zm00001eb380810,PGG domain-containing protein;100273376;PTN008608095;orthologs,OS06G0286146 PROTEIN (PTHR24177:SF432),scaffold/adaptor protein(PC00226),,,membrane(GO:0016020)
Zm00001eb298350,Pyridoxal 5'-phosphate synthase-like subunit PDX1.2;ZEAMMB73_Zm00001d018633;PTN002839658;orthologs,PYRIDOXAL 5'-PHOSPHATE SYNTHASE SUBUNIT SNZ1-RELATED (PTHR31829:SF0),,lyase activity(GO:0016829);amine-lyase activity(GO:0016843);pyridoxal 5'-phosphate synthase (glutamine hydrolysing) activity(GO:0036381);protein heterodimerization activity(GO:0046982),amino acid metabolic process(GO:0006520);pyridoxine biosynthetic process(GO:0008615);vitamin B6 biosynthetic process(GO:0042819);pyridoxal phosphate biosynthetic process(GO:0042823),cytosol(GO:0005829)
Zm00001eb232080,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb031510,AGC (cAMP-dependent cGMP-dependent and protein kinase C) kinase family protein;100381537;PTN002807137;orthologs,AGC (CAMP-DEPENDENT CGMP-DEPENDENT AND PROTEIN KINASE C) KINASE FAMILY PROTEIN (PTHR24356:SF316),non-receptor serine/threonine protein kinase(PC00167),nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740),intracellular signal transduction(GO:0035556),cytoplasm(GO:0005737)
Zm00001eb109930,Uncharacterized protein;ZEAMMB73_Zm00001d006935;;orthologs,,,,,
Zm00001eb208140,Terpene cyclase_mutase family member;103654926;PTN002622433;orthologs,LANOSTEROL SYNTHASE (PTHR11764:SF20),cyclase(PC00079),,,
Zm00001eb149540,Non-green plastid inner envelope membrane protein;100193823;;orthologs,,,,,membrane(GO:0016020)
Zm00001eb418620,DUF4378 domain-containing protein;unassigned;PTN009162143;orthologs,LOW PROTEIN: M-PHASE INDUCER PHOSPHATASE-LIKE PROTEIN (PTHR37751:SF1),protein phosphatase(PC00195),,,
Zm00001eb367930,ROTUNDIFOLIA like 8;ZEAMMB73_Zm00001d012414;PTN002847437;orthologs,ROTUNDIFOLIA LIKE 8 (PTHR33102:SF27),,,negative regulation of cell population proliferation(GO:0008285);shoot system development(GO:0048367),plasma membrane(GO:0005886)
Zm00001eb173330,F-box_kelch-repeat protein;100193097;PTN002814357;orthologs,"KELCH MOTIF FAMILY PROTEIN, EXPRESSED (PTHR24414:SF201)",non-motor actin binding protein(PC00165),,,
Zm00001eb077110,WPP domain-associated protein;ZEAMMB73_Zm00001d003004;PTN002853857;orthologs,OS04G0521600 PROTEIN (PTHR33883:SF7),,,,
Zm00001eb313080,Uncharacterized protein;unassigned;PTN009206609;orthologs,MYB_SANT-LIKE DOMAIN-CONTAINING PROTEIN (PTHR47127:SF6),,,,
Zm00001eb357950,ABC transporter G family member 40;103636060;PTN002710719;orthologs,ABC TRANSPORTER G FAMILY MEMBER 18 (PTHR19241:SF625),ATP-binding cassette (ABC) transporter(PC00003),nucleotide binding(GO:0000166);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);ABC-type transporter activity(GO:0140359),transmembrane transport(GO:0055085),membrane(GO:0016020)
Zm00001eb376590,HXXXD-type acyl-transferase family protein;ZEAMMB73_Zm00001d045304;PTN002828691;orthologs,"N-HYDROXYCINNAMOYL_BENZOYLTRANSFERASE, PUTATIVE-RELATED (PTHR31147:SF33)",transferase(PC00220),"N-acyltransferase activity(GO:0016410);transferase activity(GO:0016740);acyltransferase activity, transferring groups other than amino-acyl groups(GO:0016747)",coumarin biosynthetic process(GO:0009805),
Zm00001eb239060,F-box protein PP2-A13;ZEAMMB73_Zm00001d016227;;orthologs,,,,,
Zm00001eb368330,CTD small phosphatase-like protein;100282077;PTN002639591;orthologs,HALOACID DEHALOGENASE-LIKE HYDROLASE (HAD) SUPERFAMILY PROTEIN (PTHR12210:SF136),protein phosphatase(PC00195),phosphoprotein phosphatase activity(GO:0004721);phosphatase activity(GO:0016791),,
Zm00001eb389050,aldehyde oxygenase (deformylating);ZEAMMB73_Zm00001d046865;PTN002627274;orthologs,VERY-LONG-CHAIN ALDEHYDE DECARBONYLASE GL1-3 (PTHR11863:SF184),oxidase(PC00175),,,
Zm00001eb189950,NHL domain-containing protein;unassigned;PTN002676188;orthologs,POTASSIUM TRANSPORTER (PTHR13833:SF78),,,,
Zm00001eb319440,Uncharacterized protein;ZEAMMB73_Zm00001d021273;;orthologs,,,,,
Zm00001eb378110,Uncharacterized protein;9C20.6b;PTN005015769;orthologs,AVR9_CF-9 RAPIDLY ELICITED PROTEIN (PTHR33641:SF15),,,,
Zm00001eb273230,NIF system FeS cluster assembly NifU C-terminal domain-containing protein;unassigned;PTN008962452;orthologs,"NIFU-LIKE PROTEIN 3, CHLOROPLASTIC (PTHR11178:SF25)",,,,
Zm00001eb348790,Putative patellin family protein;ZEAMMB73_Zm00001d010205;;orthologs,,,,,
Zm00001eb426000,Uncharacterized protein;unassigned;;orthologs,,,,,Golgi apparatus(GO:0005794)
Zm00001eb212960,60S ribosomal protein L4-1;ZEAMMB73_Zm00001d013076;PTN002714728;orthologs,LARGE RIBOSOMAL SUBUNIT PROTEIN UL4 (PTHR19431:SF0),ribosomal protein(PC00202),RNA binding(GO:0003723);structural constituent of ribosome(GO:0003735),translation(GO:0006412),ribosome(GO:0005840);cytosolic large ribosomal subunit(GO:0022625);ribonucleoprotein complex(GO:1990904)
Zm00001eb132530,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb130570,Late embryogenesis abundant protein Lea5;103650118;PTN002851459;orthologs,LATE EMBRYOGENESIS ABUNDANT PROTEIN LEA5 (PTHR33509:SF25),,,response to stress(GO:0006950),mitochondrion(GO:0005739)
Zm00001eb302700,Uncharacterized protein;unassigned;PTN009219671;orthologs,OS07G0195100 PROTEIN (PTHR47980:SF45),,nucleotide binding(GO:0000166);GTPase activity(GO:0003924);GTP binding(GO:0005525),exocytosis(GO:0006887),plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb414260,Ubiquitin-specific protease family C19-related protein;unassigned;PTN002852695;orthologs,UBIQUITIN-SPECIFIC PROTEASE FAMILY C19-RELATED PROTEIN (PTHR33709:SF28),,,,
Zm00001eb222270,Nucleotide binding protein;ZEAMMB73_Zm00001d014085;PTN002698907;orthologs,WD REPEAT-CONTAINING PROTEIN 70 (PTHR16017:SF0),,,,nucleus(GO:0005634);site of double-strand break(GO:0035861)
Zm00001eb266260,Dehydroascorbate reductase;100191219;PTN002893147;orthologs,GLUTATHIONE S-TRANSFERASE DHAR2-RELATED (PTHR44420:SF2),transferase(PC00220),,,
Zm00001eb426010,Uncharacterized protein;unassigned;;orthologs,,,,,Golgi apparatus(GO:0005794)
Zm00001eb004570,tRNA (Guanine-N-7) methyltransferase;100273937;PTN009072247;orthologs,TRNA (GUANINE-N(7)-)-METHYLTRANSFERASE (PTHR23417:SF21),RNA processing factor(PC00147),methyltransferase activity(GO:0008168);tRNA (guanine(46)-N7)-methyltransferase activity(GO:0008176);transferase activity(GO:0016740),tRNA modification(GO:0006400);tRNA processing(GO:0008033);tRNA methylation(GO:0030488);methylation(GO:0032259);RNA (guanine-N7)-methylation(GO:0036265);tRNA (guanine-N7)-methylation(GO:0106004),tRNA methyltransferase complex(GO:0043527)
Zm00001eb326030,Glycosyltransferase;100191799;PTN002926977;orthologs,ARABINOSYLTRANSFERASE RRA3 (PTHR46581:SF3),transferase(PC00220),transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757),cell wall organization(GO:0071555);root hair cell development(GO:0080147),Golgi membrane(GO:0000139)
Zm00001eb215450,50S ribosomal protein L12-2;ZEAMMB73_Zm00001d013332;PTN002916153;orthologs,LARGE RIBOSOMAL SUBUNIT PROTEIN BL12M (PTHR45987:SF4),ribosomal protein(PC00202),mRNA binding(GO:0003729);structural constituent of ribosome(GO:0003735),translation(GO:0006412),cytoplasm(GO:0005737);ribosome(GO:0005840);ribonucleoprotein complex(GO:1990904)
Zm00001eb304120,UDP-glucosyltransferase;ZEAMMB73_Zm00001d019265;PTN002630377;orthologs,UDP-GLUCOSYLTRANSFERASE (PTHR11926:SF1358),transferase(PC00220),UDP-glycosyltransferase activity(GO:0008194);transferase activity(GO:0016740);quercetin 3-O-glucosyltransferase activity(GO:0080043);quercetin 7-O-glucosyltransferase activity(GO:0080044),,cytoplasm(GO:0005737)
Zm00001eb380780,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb387140,CUE domain containing protein;ZEAMMB73_Zm00001d046602;PTN002830604;orthologs,UBIQUITIN SYSTEM COMPONENT CUE PROTEIN (PTHR31245:SF1),,ubiquitin binding(GO:0043130),,
Zm00001eb402150,Uncharacterized protein;100276002;PTN002861978;orthologs,EXPRESSED PROTEIN (PTHR36067:SF1),,,,
Zm00001eb428960,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb413930,AP2-EREBP transcription factor;EREB54;PTN002829243;orthologs,ETHYLENE RESPONSE FACTOR 2 (PTHR31190:SF96),,DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700),regulation of DNA-templated transcription(GO:0006355),nucleus(GO:0005634)
Zm00001eb215160,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb292260,GDSL esterase_lipase;ZEAMMB73_Zm00001d038645;PTN002737457;orthologs,OS05G0506800 PROTEIN (PTHR22835:SF683),,,,
Zm00001eb298370,RRP15-like protein;100280074;PTN002664312;orthologs,RRP15-LIKE PROTEIN (PTHR13245:SF14),,,maturation of 5.8S rRNA(GO:0000460);maturation of LSU-rRNA(GO:0000470);rRNA processing(GO:0006364),"preribosome, large subunit precursor(GO:0030687)"
Zm00001eb158100,CTP synthase;ZEAMMB73_Zm00001d044024;PTN002610759;orthologs,CTP SYNTHASE (PTHR11550:SF13),ligase(PC00142),,,
Zm00001eb142090,AB hydrolase-1 domain-containing protein;unassigned;PTN008958154;orthologs,AB HYDROLASE-1 DOMAIN-CONTAINING PROTEIN (PTHR10992:SF1018),esterase(PC00097),catalytic activity(GO:0003824);methyl indole-3-acetate esterase activity(GO:0080030);methyl salicylate esterase activity(GO:0080031);methyl jasmonate esterase activity(GO:0080032),jasmonic acid metabolic process(GO:0009694);salicylic acid metabolic process(GO:0009696),
Zm00001eb164320,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb414040,26S proteasome non-ATPase regulatory subunit 1 homolog;ZEAMMB73_Zm00001d024342;PTN002589579;orthologs,26S PROTEASOME NON-ATPASE REGULATORY SUBUNIT 1 HOMOLOG (PTHR10943:SF13),protease(PC00190),enzyme regulator activity(GO:0030234),regulation of protein catabolic process(GO:0042176);proteasome-mediated ubiquitin-dependent protein catabolic process(GO:0043161),"proteasome complex(GO:0000502);nucleus(GO:0005634);proteasome regulatory particle, base subcomplex(GO:0008540);proteasome storage granule(GO:0034515)"
Zm00001eb126510,HD domain-containing protein;103649905;PTN002604262;orthologs,DEOXYNUCLEOSIDE TRIPHOSPHATE TRIPHOSPHOHYDROLASE SAMHD1 (PTHR11373:SF4),hydrolase(PC00121),dGTPase activity(GO:0008832),dGTP catabolic process(GO:0006203),nucleus(GO:0005634)
Zm00001eb369610,Myosin heavy chain-related;unassigned;PTN009112281;orthologs,MYOSIN HEAVY CHAIN-RELATED (PTHR31071:SF36),,,,
Zm00001eb374330,Eukaryotic translation initiation factor 4G;ZEAMMB73_Zm00001d045072;PTN002858136;orthologs,CHORISMATE SYNTHASE (PTHR34802:SF1),,,,
Zm00001eb401100,Sulfate transporter 1.2;ZEAMMB73_Zm00001d048189;PTN002624563;orthologs,OS03G0195800 PROTEIN (PTHR11814:SF276),transporter(PC00227),secondary active sulfate transmembrane transporter activity(GO:0008271);transmembrane transporter activity(GO:0022857),transmembrane transport(GO:0055085);sulfate transmembrane transport(GO:1902358),plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb214070,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb250780,Tobamovirus multiplication protein 3;ZEAMMB73_Zm00001d017620;PTN002828596;orthologs,OS02G0683900 PROTEIN (PTHR31142:SF7),,,,vacuolar membrane(GO:0005774)
Zm00001eb284010,ZAG1 protein;ZAG1;PTN002631955;orthologs,ZAG1 PROTEIN (PTHR11945:SF478),MADS box transcription factor(PC00250),"RNA polymerase II transcription regulatory region sequence-specific DNA binding(GO:0000977);RNA polymerase II cis-regulatory region sequence-specific DNA binding(GO:0000978);DNA-binding transcription factor activity, RNA polymerase II-specific(GO:0000981);DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);protein dimerization activity(GO:0046983)",regulation of DNA-templated transcription(GO:0006355);regulation of transcription by RNA polymerase II(GO:0006357);flower development(GO:0009908);cell differentiation(GO:0030154);positive regulation of transcription by RNA polymerase II(GO:0045944);floral organ development(GO:0048437);floral whorl development(GO:0048438);phyllome development(GO:0048827),nucleus(GO:0005634)
Zm00001eb369390,Glycerol-3-phosphate dehydrogenase [NAD(+)];100273065;PTN002620438;orthologs,"GLYCEROL-3-PHOSPHATE DEHYDROGENASE [NAD(+)] 2, CYTOSOLIC-RELATED (PTHR11728:SF38)",dehydrogenase(PC00092),"oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor(GO:0016616);glycerol-3-phosphate dehydrogenase [NAD(P)+] activity(GO:0047952);NAD binding(GO:0051287);glycerol-3-phosphate dehydrogenase (NAD+) activity(GO:0141152)",carbohydrate metabolic process(GO:0005975);glycerol-3-phosphate metabolic process(GO:0006072);glycerol-3-phosphate catabolic process(GO:0046168),cytoplasm(GO:0005737);cytosol(GO:0005829)
Zm00001eb060530,Acyl-CoA N-acyltransferase (NAT) superfamily protein (Fragment);GNAT38;PTN002918062;orthologs,OS01G0358800 PROTEIN (PTHR46067:SF7),acyltransferase(PC00042),"transferase activity(GO:0016740);acyltransferase activity(GO:0016746);acyltransferase activity, transferring groups other than amino-acyl groups(GO:0016747)",,
Zm00001eb114350,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb265430,IQ-domain 3;Orphan161;PTN002844852;orthologs,PROTEIN IQ-DOMAIN 3 (PTHR32295:SF216),,calmodulin binding(GO:0005516),,
Zm00001eb194530,Uncharacterized protein;100192638;PTN009183871;orthologs,AQUAPORIN NIP2-1 (PTHR45724:SF16),,channel activity(GO:0015267),transmembrane transport(GO:0055085),membrane(GO:0016020)
Zm00001eb114050,Uncharacterized protein;103648073;PTN002845349;orthologs,ATP_DNA BINDING PROTEIN (PTHR32387:SF3),,,,
Zm00001eb420950,Vacuolar protein sorting-associated protein 11 homolog;100217064;PTN002762493;orthologs,VACUOLAR PROTEIN SORTING-ASSOCIATED PROTEIN 11 HOMOLOG (PTHR23323:SF24),membrane trafficking regulatory protein(PC00151),zinc ion binding(GO:0008270);protein-macromolecule adaptor activity(GO:0030674);metal ion binding(GO:0046872),intracellular protein transport(GO:0006886);vesicle docking involved in exocytosis(GO:0006904);endosome organization(GO:0007032);vacuole organization(GO:0007033);vesicle-mediated transport(GO:0016192);organelle fusion(GO:0048284),endosome(GO:0005768);vacuolar membrane(GO:0005774);plant-type vacuole membrane(GO:0009705);endomembrane system(GO:0012505);HOPS complex(GO:0030897);protein-containing complex(GO:0032991);CORVET complex(GO:0033263);vesicle tethering complex(GO:0099023)
Zm00001eb070900,"2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing];100194355;PTN002878965;orthologs","2,4-DIENOYL-COA REDUCTASE [(3E)-ENOYL-COA-PRODUCING] (PTHR43296:SF6)",reductase(PC00198),"2,4-dienoyl-CoA reductase (NADPH) activity(GO:0008670);oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor(GO:0016628)",fatty acid metabolic process(GO:0006631);fatty acid catabolic process(GO:0009062),peroxisome(GO:0005777)
Zm00001eb329620,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb253480,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb290830,Cyclin N-terminal domain-containing protein;unassigned;PTN008936531;orthologs,CYCLIN-T1-3 (PTHR10026:SF157),kinase activator(PC00138),cyclin-dependent protein serine/threonine kinase regulator activity(GO:0016538);cyclin-dependent protein serine/threonine kinase activator activity(GO:0061575),"regulation of transcription by RNA polymerase II(GO:0006357);positive regulation of DNA-templated transcription, elongation(GO:0032786);positive regulation of transcription by RNA polymerase II(GO:0045944)",nucleus(GO:0005634);cyclin/CDK positive transcription elongation factor complex(GO:0008024)
Zm00001eb324430,Secretory carrier-associated membrane protein;100303986;PTN008951414;orthologs,SECRETORY CARRIER-ASSOCIATED MEMBRANE PROTEIN 1 (PTHR10687:SF74),transfer/carrier protein(PC00219),,,
Zm00001eb005270,Uncharacterized protein;unassigned;;orthologs,,,,,nuclear pore(GO:0005643)
Zm00001eb181270,SAM domain family protein;100280473;PTN002679920;orthologs,OS02G0526500 PROTEIN (PTHR14110:SF28),transporter(PC00227),protein transmembrane transporter activity(GO:0008320),mitochondrion organization(GO:0007005);protein transport(GO:0015031);tRNA import into mitochondrion(GO:0016031);protein targeting to chloroplast(GO:0045036);protein insertion into mitochondrial inner membrane(GO:0045039);protein transmembrane transport(GO:0071806),chloroplast inner membrane(GO:0009706);TIM22 mitochondrial import inner membrane insertion complex(GO:0042721)
